evaluation,objective,gradient_norm,elapsed_s,nominal_fidelity
1,0.5920989792524655,1.0473106697274172e-07,0.011562200001208112,0.40790102074753454
2,0.20009860730137152,7.996183792659363e-08,0.032532900004298426,0.7999013926986285
3,0.9386137822799476,2.833728963099011e-08,0.05090230000496376,0.06138621772005243
4,0.02264882724394157,2.7513301074423828e-08,0.06406740000238642,0.9773511727560584
5,0.004503973359001767,9.8163279134134e-09,0.07630050000443589,0.9954960266409982
6,0.001991045829033755,4.450670855409893e-09,0.08845980000478448,0.9980089541709662
7,0.0006417160580706183,2.803560007200358e-09,0.09901740000350401,0.9993582839419294
8,2.1438340482626828e-05,8.617135550641928e-10,0.10967930000333581,0.9999785616595174
9,3.814029758686388e-09,1.2936348544865679e-11,0.12042189999920083,0.9999999961859702
10,5.807132552604344e-12,3.2911373690945795e-13,0.1314055000038934,0.9999999999941929
11,1.4876988529977098e-14,1.164270304417444e-14,0.14158230000612093,0.9999999999999851
