time_midpoint_s,command_qubit_I,physical_qubit_I,command_qubit_Q,physical_qubit_Q
2e-09,-317192.8920598655,0.0,881763.220680093,0.0
6.000000000000001e-09,-483107.23961119424,-121844.76985823797,1342987.2730559676,338715.77637038357
1e-08,-715766.1809874971,-257095.2485535515,1989753.806563157,714697.8117540265
1.4000000000000001e-08,-1031588.1241168093,-425853.1441385561,2867703.9956695386,1183826.64313239
1.8000000000000002e-08,-1446268.8186098412,-646224.0737005428,4020470.026859621,1796433.8199147647
2.2e-08,-1972419.2944467992,-934864.446616096,5483108.8320261035,2598822.1801871005
2.6e-08,-2616718.4196443395,-1306395.1092691235,7274186.533042685,3631635.849632075
3.0000000000000004e-08,-3376931.6530583436,-1771963.3814625943,9387490.943722796,4925862.870247371
3.4e-08,-4239309.070359047,-2337253.840529752,11784798.429007139,6497305.420295417
3.800000000000001e-08,-5176967.276614747,-3000321.2387454403,14391375.874368032,8340555.598931883
4.2000000000000006e-08,-6149832.530362054,-3749696.9664224335,17095822.653753936,10423731.651534285
4.6000000000000015e-08,-7106547.923209808,-4563255.788576882,19755372.442708787,12685327.680913474
5.000000000000001e-08,-7988433.399403,-5408283.287423801,22206901.67088353,15034401.188875929
5.400000000000002e-08,-8735184.423616609,-6243036.628481799,24282771.181663446,17354911.88180429
5.8000000000000016e-08,-9291590.652662525,-7019849.710965635,25829503.340064444,19514353.671222605
6.200000000000003e-08,-9614253.927283905,-7689536.616476469,26726457.203626044,21375995.767686635
6.600000000000001e-08,-9677175.9694905,-8206556.835329774,26901361.566499144,22813241.39524176
7.000000000000002e-08,-9475218.166714683,-8534193.434582504,26339932.62949097,23724022.44788802
7.4e-08,-9024794.64460791,-8648921.417104358,25087800.534350153,24042942.942341313
7.800000000000001e-08,-8361668.939575362,-8543237.972035771,23244384.266058527,23749146.690737236
8.199999999999999e-08,-7536264.612587637,-8226477.3216768075,20949855.643940717,22868582.385003764
8.6e-08,-6607342.799558253,-7723487.64195538,18367563.639104303,21470325.510449708
8.999999999999999e-08,-5635144.664830541,-7071425.806456798,15664971.236092687,19657668.057420395
9.4e-08,-4675099.196113309,-6315241.833941414,12996163.917676136,17555565.798172638
9.799999999999998e-08,-3772976.677958206,-5502611.421890991,10488376.989054382,15296551.344128199
1.0199999999999999e-07,-2961999.230039368,-4679099.868203447,8233963.315376711,13007290.46514772
1.0599999999999997e-07,-2262003.600989317,-3884213.5829667468,6288066.074137084,10797605.823832342
1.0999999999999998e-07,-1680386.4570027702,-3148760.9154280853,4671246.607289639,8753140.457773251
1.1399999999999996e-07,-1214318.4217638336,-2493666.2041126555,3375639.2220092425,6932061.044561276
1.1799999999999997e-07,-853617.9214406441,-1930124.1705163526,2372940.143115,5365487.148534534
1.2199999999999995e-07,-583716.5343863429,-1460794.4841405272,1622650.8157828355,4060812.001199617
1.26e-07,-388282.6601540001,-1081642.0083281456,1079371.3631375378,3006818.177950155
